資源名稱,資源類型,地點,服務內容,電話,網址
"新北市私立恩祥老人長期照顧中心（養護型）","1966 長照服務","新北市蘆洲區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-22885959",""
"新北市私立吉立老人養護中心","1966 長照服務","新北市蘆洲區","私立老人福利機構，收容對象：養護，核定床數 19 床","02-22855703",""
"新北市私立佳緣老人長期照顧中心（養護型）","1966 長照服務","新北市鶯歌區","私立老人福利機構，收容對象：養護，核定床數 47 床","02-26707278",""
"新北市私立愛鄰田園老人長期照顧中心（養護型）","1966 長照服務","新北市鶯歌區","私立老人福利機構，收容對象：養護，核定床數 40 床","02-86773288",""
"新北市私立大漢老人長期照顧中心（養護型）","1966 長照服務","新北市汐止區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26932918",""
"新北市私立匯福老人長期照顧中心（養護型）","1966 長照服務","新北市新店區","私立老人福利機構，收容對象：養護，核定床數 48 床","02-22178035",""
"新北市私立溫馨園老人長期照顧中心（養護型）","1966 長照服務","新北市鶯歌區","私立老人福利機構，收容對象：養護，核定床數 49 床","02-26782277",""
"財團法人台灣省私立菩提仁愛之家","1966 長照服務","台中市大里區","私立老人福利機構，收容對象：長照 養護，核定床數 297 床","04-24837148",""
"臺中市立仁愛之家","1966 長照服務","台中市北屯區","公立老人福利機構，收容對象：安養 養護，核定床數 187 床","04-22392074",""
"財團法人臺中市私立長生老人長期照護中心","1966 長照服務","台中市北區","私立老人福利機構，收容對象：長照，核定床數 91 床","04-22302033",""
"財團法人台中市順天宮輔順將軍廟附設私立輔順仁愛之家","1966 長照服務","台中市北區","私立老人福利機構，收容對象：安養 養護，核定床數 170 床","04-22030602",""
"財團法人中華基督教福音信義傳道會附設台中市私立信義老人養護中心","1966 長照服務","台中市東勢區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-25888225",""
"財團法人臺中市私立永耕社會福利基金會附設臺中市私立永耕老人養護中心","1966 長照服務","台中市南區","私立老人福利機構，收容對象：養護，核定床數 153 床","04-22611698",""
"財團法人臺灣省私立永信社會福利基金會附設臺中市私立松柏園老人養護中心","1966 長照服務","台中市大甲區","私立老人福利機構，收容對象：養護，核定床數 161 床","04-26760180",""
"財團法人臺中市私立普濟社會福利慈善事業基金會附設臺中市私立普濟老人長期照顧中心(養護型)","1966 長照服務","台中市龍井區","私立老人福利機構，收容對象：養護，核定床數 46 床","04-26522166",""
"財團法人臺中市私立公老坪社會福利慈善事業基金會附設臺中市私立田園老人養護中心","1966 長照服務","台中市豐原區","私立老人福利機構，收容對象：養護，核定床數 200 床","04-25220123",""
"財團法人臺中市私立廣達社會福利慈善事業基金會附設臺中市私立廣達老人長期照顧中心(養護型)","1966 長照服務","台中市外埔區","私立老人福利機構，收容對象：養護，核定床數 200 床","04-26836161",""
"財團法人臺中市私立好耆老人長期照顧中心(養護型)","1966 長照服務","台中市梧棲區","私立老人福利機構，收容對象：養護，核定床數 82 床","04-26630197",""
"臺中市私立溫興長期照顧中心(養護型)","1966 長照服務","台中市中區","私立老人福利機構，收容對象：養護，核定床數 28 床","04-22230938",""
"台中市私立麗安老人長期照顧中心(養護型)","1966 長照服務","台中市中區","私立老人福利機構，收容對象：長照 養護，核定床數 48 床","04-22250345",""
"臺中市私立麗新長期照顧中心(養護型)","1966 長照服務","台中市中區","私立老人福利機構，收容對象：養護，核定床數 37 床","04-22250345",""
"臺中市私立惠群老人長期照顧中心(養護型)","1966 長照服務","台中市東區","私立老人福利機構，收容對象：養護，核定床數 47 床","04-22130557",""
"臺中市私立德康老人長期照顧中心(養護型)","1966 長照服務","台中市東區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-22154171",""
"臺中市私立敬馨老人長期照顧中心(養護型)","1966 長照服務","台中市東區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-22116802",""
"臺中市私立福祿貝老老人養護中心","1966 長照服務","台中市西區","私立老人福利機構，收容對象：養護，核定床數 46 床","04-22026788",""
"台中市私立貝思特老人長期照顧中心(養護型)","1966 長照服務","台中市西區","私立老人福利機構，收容對象：長照 養護，核定床數 26 床","04-22026788",""
"台中市私立大墩老人養護中心","1966 長照服務","台中市西區","私立老人福利機構，收容對象：養護，核定床數 48 床","04-24735983 04-24716768",""
"臺中市私立長庚老人養護中心","1966 長照服務","台中市西區","私立老人福利機構，收容對象：養護，核定床數 40 床","04-23103586",""
"台中市私立祥和老人養護中心","1966 長照服務","台中市南區","私立老人福利機構，收容對象：養護，核定床數 45 床","04-22605999",""
"臺中市私立沐陽306老人長期照顧中心(養護型)","1966 長照服務","台中市南區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-22222859",""
"臺中市私立永和老人養護中心","1966 長照服務","台中市北區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-22030609",""
"台中市私立信望愛老人養護中心","1966 長照服務","台中市北區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-22031097 04-22057036",""
"台中市私立慈恩老人養護中心","1966 長照服務","台中市北區","私立老人福利機構，收容對象：養護，核定床數 48 床","04-22039778",""
"臺中市私立杏林老人長期照顧中心(養護型)","1966 長照服務","台中市西屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24618119",""
"台中市私立玫園老人長期照顧中心(養護型)","1966 長照服務","台中市西屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24623902 04-24626799",""
"臺中市私立長青老人養護中心","1966 長照服務","台中市西屯區","私立老人福利機構，收容對象：養護，核定床數 47 床","04-23107959",""
"臺中市私立安健老人養護中心","1966 長照服務","台中市西屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-23119033",""
"台中市私立善心園老人長期照顧中心(養護型)","1966 長照服務","台中市西屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24635886",""
"台中市私立至善園老人養護中心","1966 長照服務","台中市南屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-23852299",""
"臺中市私立葳采老人長期照顧中心(養護型)","1966 長照服務","台中市南屯區","私立老人福利機構，收容對象：養護，核定床數 43 床","04-23807788",""
"臺中市私立真善美老人長期照顧中心(養護型)","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24363201 04-24369228",""
"台中市私立惠恩老人養護中心","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 45 床","04-24223627",""
"臺中市私立同心居老人養護中心","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24225880 04-24225958",""
"臺中市私立長生老人養護中心","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24226226",""
"台中市私立大德老人養護中心","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 36 床","04-22930666 04-22989030",""
"臺中市私立欣德老人長期照顧中心(養護型)","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：長照 養護，核定床數 46 床","04-22316611",""
"台中市私立永春老人長期照顧中心(養護型)","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 46 床","04-24368956",""
"台中市私立永安老人長期照顧中心(養護型)","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 47 床","04-22389266",""
"台中市私立嘉民老人長期照顧中心(養護型)","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 48 床","04-24370892",""
"台中市私立福欣老人長期照顧中心(養護型)","1966 長照服務","台中市北屯區","私立老人福利機構，收容對象：養護，核定床數 46 床","04-24376502",""
"臺中市私立享壽老人長期照顧中心(養護型)","1966 長照服務","台中市烏日區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-23385355",""
"臺中市私立昇柏老人養護中心","1966 長照服務","台中市烏日區","私立老人福利機構，收容對象：養護，核定床數 34 床","04-23381438",""
"臺中市私立泰安老人長期照顧中心(養護型)","1966 長照服務","台中市烏日區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-23380707",""
"臺中市私立福碩老人長期照顧中心(養護型)","1966 長照服務","台中市烏日區","私立老人福利機構，收容對象：養護，核定床數 47 床","04-23386608",""
"臺中市私立清心老人養護中心","1966 長照服務","台中市大里區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24864567",""
"台中市私立全家老人養護中心","1966 長照服務","台中市大里區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-24180505",""
"臺中市私立健民老人長期照顧中心(養護型)","1966 長照服務","台中市霧峰區","私立老人福利機構，收容對象：養護，核定床數 39 床","04-23328287",""
"臺中市私立皇家老人養護中心","1966 長照服務","台中市沙鹿區","私立老人福利機構，收容對象：養護，核定床數 40 床","04-26336666",""
"臺中市私立康祥老人長期照顧中心(養護型)","1966 長照服務","台中市沙鹿區","私立老人福利機構，收容對象：養護，核定床數 32 床","04-26367669",""
"臺中市私立育沛老人長期照顧中心(養護型)","1966 長照服務","台中市梧棲區","私立老人福利機構，收容對象：養護，核定床數 26 床","04-26392378",""
"臺中市私立健德老人養護中心","1966 長照服務","台中市大雅區","私立老人福利機構，收容對象：長照 養護，核定床數 49 床","04-25604290",""
"臺中市私立孝親園老人長期照顧中心(養護型)","1966 長照服務","台中市潭子區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-25345412",""
"臺中市私立松群老人養護中心","1966 長照服務","台中市神岡區","私立老人福利機構，收容對象：養護，核定床數 48 床","04-25625627",""
"臺中市私立豐原長生老人養護中心","1966 長照服務","台中市豐原區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-25151111",""
"臺中市私立健安老人養護中心","1966 長照服務","台中市豐原區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-25255777",""
"臺中市私立太夫老人長期照顧中心(養護型)","1966 長照服務","台中市豐原區","私立老人福利機構，收容對象：養護，核定床數 20 床","04-25232048",""
"臺中市私立豐盛老人長期照顧中心","1966 長照服務","台中市豐原區","私立老人福利機構，收容對象：長照，核定床數 23 床","04-25122371",""
"臺中市私立愛老郎老人長期照顧中心(養護型)","1966 長照服務","台中市豐原區","私立老人福利機構，收容對象：長照 養護，核定床數 49 床","04-25293499",""
"臺中市私立桃太郎老人養護中心","1966 長照服務","台中市后里區","私立老人福利機構，收容對象：養護，核定床數 46 床","04-25561811",""
"臺中市私立健復老人長期照顧中心(養護型)","1966 長照服務","台中市后里區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-25570002",""
"臺中市私立常春老人養護中心","1966 長照服務","台中市外埔區","私立老人福利機構，收容對象：養護，核定床數 45 床","04-26839990",""
"臺中市私立安宜田園老人長期照顧中心(養護型)","1966 長照服務","台中市外埔區","私立老人福利機構，收容對象：養護，核定床數 49 床","04-26838781",""
"臺中市私立永和老人長期照顧中心(養護型)","1966 長照服務","台中市大甲區","私立老人福利機構，收容對象：養護，核定床數 48 床","04-26870788",""
"財團法人台灣省私立台南仁愛之家（新都養護所）","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 139 床","06-2630431",""
"財團法人台灣省私立台南仁愛之家（成功養護中心）","1966 長照服務","台南市北區","私立老人福利機構，收容對象：養護，核定床數 54 床","06-2252115",""
"財團法人台灣省私立台南仁愛之家（康寧園安養中心）","1966 長照服務","台南市北區","私立老人福利機構，收容對象：安養，核定床數 99 床","06-2254670",""
"財團法人台灣省私立普門仁愛之家","1966 長照服務","台南市麻豆區","私立老人福利機構，收容對象：安養 養護，核定床數 72 床","06-5722384",""
"財團法人樹河社會福利基金會附設臺灣省私立悠然山莊安養中心","1966 長照服務","台南市關廟區","私立老人福利機構，收容對象：安養 養護 長照，核定床數 122 床","06-5954188",""
"臺南市私立祐健老人長期照顧中心(養護型)","1966 長照服務","台南市中西區","私立老人福利機構，收容對象：養護，核定床數 41 床","06-2260303",""
"臺南市私立慈心老人長期照顧中心(養護型)","1966 長照服務","台南市中西區","私立老人福利機構，收容對象：養護，核定床數 42 床","06-2586999",""
"臺南市私立慈恩老人長期照顧中心(養護型)","1966 長照服務","台南市中西區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2501843",""
"臺南市私立慈善老人長期照顧中心(養護型)","1966 長照服務","台南市中西區","私立老人福利機構，收容對象：養護，核定床數 45 床","06-2994591",""
"財團法人台南市基督教青年會社會福利慈善事業基金會附設台南市私立臨安老人養護中心","1966 長照服務","台南市中西區","私立老人福利機構，收容對象：養護，核定床數 68 床","06-3583000",""
"財團法人台南市私立林澄輝社會福利慈善事業基金會附設臺南市私立璐德老人長期照顧中心(養護型)","1966 長照服務","台南市中西區","私立老人福利機構，收容對象：養護，核定床數 72 床","06-3588670",""
"台南市私立長佳老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2676812",""
"台南市私立佑惠老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 21 床","06-2695457",""
"台南市私立愛惠老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 28 床","06-2684254",""
"台南市私立崇善老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 45 床","06-3364911",""
"台南市私立中華老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 18 床","06-3356320",""
"台南市私立平安老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2602050",""
"台南市私立千慈老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 35 床","06-2906407",""
"台南市私立同德老人養護中心","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2697970",""
"臺南市私立有德老人長期照顧中心(養護型)","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-3352768",""
"臺南市私立臻德老人長期照顧中心(養護型)","1966 長照服務","台南市東區","私立老人福利機構，收容對象：養護，核定床數 46 床","06-2696828",""
"臺南市私立福康老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 21 床","06-2908005",""
"台南市私立瑞園老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2652911",""
"財團法人台灣省台南市天主教仁愛修女會附設台南市私立老吾老養護中心","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護 長照，核定床數 79 床","06-2643837",""
"臺南市私立國民老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 38 床","06-2891829",""
"台南市私立明興老人養護中心","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2622377",""
"台南市私立健康老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 45 床","06-2614516",""
"台南市私立長生老人養護中心","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 47 床","06-2916098",""
"臺南市私立樂活屋老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2640777",""
"臺南市私立惠慈老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 38 床","06-3368789",""
"臺南市私立永佳老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 24 床","06-2960052",""
"臺南市私立康得老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 19 床","06-2670027",""
"臺南市私立森川老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2626009",""
"臺南市私立永承老人長期照顧中心(養護型)","1966 長照服務","台南市南區","私立老人福利機構，收容對象：養護，核定床數 38 床","06-2965588",""
"台南市私立慈愛老人養護中心","1966 長照服務","台南市北區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2088818",""
"台南市私立聖功老人養護中心","1966 長照服務","台南市北區","私立老人福利機構，收容對象：養護，核定床數 40 床","06-2591081",""
"臺南市私立佳和老人長期照顧中心(養護型)","1966 長照服務","台南市北區","私立老人福利機構，收容對象：養護，核定床數 47 床","06-2826717",""
"臺南市私立宜家老人長期照顧中心(養護型)","1966 長照服務","台南市北區","私立老人福利機構，收容對象：養護，核定床數 44 床","06-2230861",""
"臺南市私立正覺老人長期照顧中心(養護型)","1966 長照服務","台南市北區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2525882",""
"臺南市私立詮恩老人長期照顧中心(養護型)","1966 長照服務","台南市北區","私立老人福利機構，收容對象：養護，核定床數 47 床","06-2520670",""
"臺南市政府社會局委託財團法人樹河社會福利基金會經營臺南市悠然綠園安養暨長期照顧中心","1966 長照服務","台南市安平區","公設民營老人福利機構，收容對象：養護 長照 安養 失智，核定床數 200 床","06-2957168",""
"財團法人台南市私立吾愛吾家養護中心","1966 長照服務","台南市安平區","私立老人福利機構，收容對象：養護，核定床數 68 床","06-2952763",""
"台南市私立馨心老人養護中心","1966 長照服務","台南市安平區","私立老人福利機構，收容對象：養護，核定床數 25 床","06-2507032",""
"台南市私立和豐園老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2800959",""
"台南市私立同安老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2466618",""
"台南市私立佑康老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 23 床","06-2569757",""
"臺南市私立佳欣老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 37 床","06-2872816",""
"台南市私立麗新老人養護中心","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 31 床","06-2873078",""
"臺南市私立愛和老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2560884",""
"臺南市私立安和老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2558385",""
"臺南市私立美麗園老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2571212",""
"臺南市私立裕康美老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2571212",""
"臺南市私立怡安老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2455566
06-2565108",""
"臺南市私立東園老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2873663",""
"臺南市私立順安老人長期照顧中心(養護型)","1966 長照服務","台南市安南區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2459966",""
"臺南市私立萬安老人長期照顧中心(養護型)","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-6330899",""
"臺南市私立萬泰老人長期照顧中心(養護型)","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-6330899",""
"臺南市私立欣園老人長期照顧中心(養護型)","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-6337830",""
"臺南市私立合信老人長期照顧中心(養護型)","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 38 床","06-6572886",""
"臺南市私立泰安老人養護中心","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-6352262",""
"臺南市私立美安老人養護中心","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 36 床","06-6352262",""
"臺南市私立新營老人長期照顧中心(養護型)","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-6581517",""
"臺南市私立太子宮老人養護中心","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-6525528",""
"臺南市私立佑安老人長期照顧中心(養護型)","1966 長照服務","台南市新營區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-6325999",""
"財團法人臺南市私立麻豆社會福利慈善事業基金會附設臺南市私立麻豆老人養護中心","1966 長照服務","台南市麻豆區","私立老人福利機構，收容對象：養護，核定床數 164 床","06-5710979",""
"臺南市私立清心園老人長期照顧中心(養護型)","1966 長照服務","台南市麻豆區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-5700010",""
"臺南市私立公園老人長期照顧中心(養護型)","1966 長照服務","台南市佳里區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7212829",""
"臺南市私立宏瑋養護院","1966 長照服務","台南市佳里區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7230265",""
"臺南市私立宏佳老人養護院","1966 長照服務","台南市佳里區","私立老人福利機構，收容對象：養護，核定床數 39 床","06-7230265",""
"臺南市私立宏祐老人養護之家","1966 長照服務","台南市佳里區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-7215700",""
"臺南市私立宏丞老人養護之家","1966 長照服務","台南市佳里區","私立老人福利機構，收容對象：養護，核定床數 46 床","06-7215800",""
"臺南市私立康泰老人長期照顧中心(養護型)","1966 長照服務","台南市佳里區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7222955",""
"臺南市私立康健老人長期照顧中心(養護型)","1966 長照服務","台南市佳里區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-7222977",""
"臺南市私立天寶老人長期照顧中心(養護型)","1966 長照服務","台南市新化區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-5982336",""
"臺南市私立松柏養護之家","1966 長照服務","台南市新化區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-5980662",""
"財團法人臺南市私立佛教觀音村社會福利慈善事業基金會附設臺南市私立觀音村老人養護靜修院","1966 長照服務","台南市新化區","私立老人福利機構，收容對象：養護，核定床數 80 床","06-5912800",""
"財團法人臺灣省臺南市臺灣首廟天壇附設臺南市私立天壇老人養護中心","1966 長照服務","台南市新化區","私立老人福利機構，收容對象：養護，核定床數 250 床","06-5800111",""
"臺南市私立安心養護之家","1966 長照服務","台南市善化區","私立老人福利機構，收容對象：養護，核定床數 46 床","06-5835388",""
"臺南市私立健樂老人長期照顧中心(養護型)","1966 長照服務","台南市學甲區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-7830536",""
"臺南市私立樂健心?老人長期照顧中心(養護型)","1966 長照服務","台南市學甲區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-7830536",""
"臺南市私立學甲老人養護中心","1966 長照服務","台南市學甲區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-7820353",""
"臺南市私立馨園老人長期照顧中心(養護型)","1966 長照服務","台南市學甲區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7834077",""
"臺南市私立存德老人養護中心","1966 長照服務","台南市後壁區","私立老人福利機構，收容對象：養護，核定床數 45 床","06-6623588",""
"臺南市私立廣恩老人養護中心","1966 長照服務","台南市東山區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-6801785",""
"臺南市私立大慶老人長期照顧中心(養護型)","1966 長照服務","台南市東山區","私立老人福利機構，收容對象：養護，核定床數 44 床","06-6804197",""
"臺南市私立和平老人長期照顧中心(養護型)","1966 長照服務","台南市下營區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-6898268",""
"臺南市政府社會局委託財團法人高雄市私立萃文書院社會福利慈善事業基金會經營臺南市官田老人養護中心","1966 長照服務","台南市官田區","公設民營老人福利機構，收容對象：養護，核定床數 152 床","06-5790749",""
"臺南市私立康慈老人長期照顧中心(養護型)","1966 長照服務","台南市大內區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-5761878",""
"臺南市私立藤澤養護之家","1966 長照服務","台南市西港區","私立老人福利機構，收容對象：養護，核定床數 40 床","06-7952180",""
"臺南市私立春柏老人長期照顧中心(養護型)","1966 長照服務","台南市西港區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7955397",""
"臺南市私立家園老人養護中心","1966 長照服務","台南市西港區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-7955282",""
"臺南市私立為仁老人長期照顧中心(養護型)","1966 長照服務","台南市西港區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7956402",""
"臺南市私立藤龍老人長期照顧中心(養護型)","1966 長照服務","台南市西港區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-7958138",""
"臺南市私立順園老人長期照顧中心（養護型）","1966 長照服務","台南市將軍區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7941286",""
"臺南市私立喜園老人長期照顧中心（養護型）","1966 長照服務","台南市將軍區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7941286",""
"臺南市私立善園老人長期照顧中心（養護型）","1966 長照服務","台南市將軍區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-7941286",""
"臺南市私立惠群老人長期照顧中心(養護型)","1966 長照服務","台南市仁德區","私立老人福利機構，收容對象：養護，核定床數 31 床","06-2684356",""
"臺南市私立慈安老人長期照顧中心(養護型)","1966 長照服務","台南市仁德區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2905728",""
"臺南市私立迦南山莊老人長期照顧中心(養護型)","1966 長照服務","台南市仁德區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2884303",""
"臺南市私立尚美老人養護中心","1966 長照服務","台南市仁德區","私立老人福利機構，收容對象：養護，核定床數 27 床","06-2496576",""
"臺南市私立長祐老人長期照顧中心(養護型)","1966 長照服務","台南市仁德區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-2666425",""
"臺南市私立仁田老人長期照顧中心(養護型)","1966 長照服務","台南市仁德區","私立老人福利機構，收容對象：養護，核定床數 30 床","06-2797977",""
"臺南市私立恩欣老人長期照顧中心(養護型)","1966 長照服務","台南市仁德區","私立老人福利機構，收容對象：養護，核定床數 45 床","06-2895999",""
"臺南市私立媽廟老人養護院","1966 長照服務","台南市歸仁區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2719123",""
"臺南市私立歸仁愛心養護中心","1966 長照服務","台南市歸仁區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2396618",""
"臺南市私立友廉養護中心","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 32 床","06-2020707",""
"臺南市私立保健老人長期照顧中心（養護型）","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 31 床","06-2028884",""
"臺南市私立南臺養護中心","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2425538",""
"臺南市私立永康慈善老人養護之家","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 44 床","06-2015439",""
"臺南市私立維康老人養護中心","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 39 床","06-3027655",""
"臺南市私立和春老人長期照顧中心(養護型)","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 49 床","06-3025908",""
"臺南市私立康鈞老人長期照顧中心(養護型)","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2020816",""
"臺南市私立樺馨苑老人長期照顧中心(養護型)","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-2719998",""
"臺南市私立陽光老人長期照顧中心(養護型)","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 24 床","06-3020288",""
"臺南市私立宜仁老人長期照顧中心(養護型)","1966 長照服務","台南市永康區","私立老人福利機構，收容對象：養護，核定床數 45 床","06-2019321",""
"臺南市私立玉山老人長期照顧中心(養護型)","1966 長照服務","台南市山上區","私立老人福利機構，收容對象：養護，核定床數 49 床","",""
"臺南市私立天和老人長期照顧中心(養護型)","1966 長照服務","台南市後壁區","私立老人福利機構，收容對象：養護，核定床數 48 床","06-6355553",""
